rcn;id;acronym;status;programme;topics;frameworkProgramme;title;startDate;endDate;projectUrl;objective;totalCost;ecMaxContribution;call;fundingScheme;coordinator;coordinatorCountry;participants;participantCountries;subjects
229224;884711;Exo-Oceans;SIGNED;H2020-EU.1.1.;ERC-2019-ADG;H2020;"Searching and Characterizing Extraterrestrial Subsurface Oceans";2020-10-01;2025-09-30;;"The existence of liquid water is one of the few preconditions for life as we know it. Therefore, the search and characterization of liquid water outside of Earth plays an essential role in the search for extraterrestrial life. Prominent candidates to host liquid water are moons in the outer solar system, which can maintain oceans under their icy surfaces. The currently most effective way to identify such subsurface oceans is through effects of their salinity and thus electrical conductivity. The conductivity modifies the magnetic field around these moons through a process referred to as electromagnetic induction. Spacecraft measurements of associated magnetic field perturbations provided evidence for oceans within Jupiter’s moon Europa and Ganymede. Current analysis tools however reached an impasse. No scientific techniques are available, which provide quantitative estimates and uncertainties of key ocean properties when the effects of the dense magnetized plasmas around the moons are included. Here we propose entirely new approaches, which overcome these issues. Our novel techniques will include a simultaneous treatment of the physics in all internal and external conductive layers and will for the first time use all available observations including auroral emission to go beyond considering magnetic fields only. EXO-OCEANS will systematically characterize the ocean properties on Europa and Ganymede including the ocean candidate Callisto. Characterizing the oceans on Ganymede, Europa and Callisto are at the heart of ESA’s Juice and NASA’s Europa Clipper missions. For Saturn’s moons Titan and Enceladus where currently existing techniques do not work, we will invent a new detection technique. In parallel we will use the Hubble Space Telescope to search and characterize aurora in extrasolar planetary systems to pave the way for ocean detections beyond the solar system.";2116582,5;2116582;ERC-2019-ADG;ERC-ADG;"UNIVERSITAET ZU KOELN";DE;;;
229228;883786;DOGMATRON;SIGNED;H2020-EU.1.1.;ERC-2019-ADG;H2020;"Artificial Translation with Dynamic Foldamers: Relaying Encoded Messages into Chemical Function";2020-09-01;2025-08-31;;"We propose to apply the power of synthetic chemistry to a new challenge in synthetic biomimicry: the translation of encoded information into molecular function. We propose to design and build switchable synthetic molecules that are capable of communicating and processing information. This ambitious aim will be achieved through new classes of extended dynamic molecules that respond to their environment by changing shape, principally by invertase polarity/directionality. They will receive, communicate, amplify, transmit, and process information encoded in their molecular conformation and orientation. New analystic methods will be developed to explore their kinetics and thermodynamics. Characterized by a high level of intramolecular structural organization, they will participate in strong, selective mutual interactions, allowing them to process information through intramolecular and intermolecular interactions in simple and complex mixtures, both solution and in the membrane phase. These chemical systems will be able to extract information from their environment (the presence of a specific metal or organic molecule, a genetically encoded message, pH, or irradiation at a specific wavelength) and process it into chemical function. Life takes information in the form of bond polarity encoded in base pairs and translates it into biochemical function in the form of protein structure, and our synthetic structures will likewise translate molecular polarity into function by using new classes of ‘promiscuous’ Watson-Crick-like base-pairs, able to switch between alternative hydrogen-bond polarities. Applications for these synthetic communication systems will ultimately see them embedded into cell membranes, allowing the selective control of function by communicating into the interior of both artificial vesicles and living cells.";2499805;2499805;ERC-2019-ADG;ERC-ADG;"UNIVERSITY OF BRISTOL";UK;;;
229221;884114;NaCRe;SIGNED;H2020-EU.1.1.;ERC-2019-ADG;H2020;"Nature-inspired Circular Recycling for Polymers";2021-01-01;2025-12-31;;"In 2070, 10^12 Kg of plastics (polymers) could be produced yearly in a world inhabited by 11 billion people. Hence, we have ~50 years to address this sustainability challenge. The sourcing and disposing of such quantities without a significant environmental impact will not be possible, even if everything is bio-sourced and bio-degraded. Yet, on earth, there are >10^12 Kg of proteins (one of Nature’s polymers). They are sustainable because they are recycled in a circular way. If we exemplify their metabolism, proteins are decomposed by living organisms into their monomeric constituents (the amino acids, AAs); the cell machinery uses such AAs to synthesize new proteins that have little in common with the original ones. This is only possible because a protein is a specific sequence of AAs bound together by cleavable peptide bonds, i.e. proteins are sequence-defined polymers, SDPs. Nature reuses and does not degrade AAs, thus assuring protein sustainability. This project aims at showing that such a circular approach to recycle SDPs is possible for technologically-relevant polymers using engineering-sound laboratory processes. One aim is to show that b-Lactoglobulin, a milk protein used as a component for water filtration membranes, can be digested into its AAs, that, in turn, can be used to form Fibroin, a silk protein used in resistive switching memory devices. Fibroin will be converted into Keratin, a wool protein, that will be converted back into b-Lactoglobulin. Another aim is to perform the whole process within an automated and scalable robotic platform. The final aim is to expand this concept from natural proteins to DNA and non-natural SDPs. There would be a paradigm shift in plastic recycling, if a random mixture of any polymers could be used to produce any other polymer on earth, without taxing the planet with degradation products. Scope of this project is to show that such a vision in the circular use of polymers is scientifically and technologically possible.";3375000;3375000;ERC-2019-ADG;ERC-ADG;"ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE";CH;;;
229204;863981;I-RISK;SIGNED;H2020-EU.1.1.;ERC-2019-COG;H2020;"From parental risk to child mental illness: a genetically informed investigation of intergenerational risk pathways";2020-06-01;2025-05-31;;"Mental illnesses account for 32% of years lived with disability. Critically, 50% of mental illnesses are established before age 14 years. It is thus imperative to better understand the causes of early psychiatric symptoms in childhood if we are to design effective preventive interventions. Parental risk factors –e.g. psychiatric disorders and substance use– have consistently emerged as strong predictors of child psychiatric symptoms. However, we do not know whether such parental risk factors are causes or mere correlates of child symptoms and how this transmission of risk across generations occurs. The overarching aim of I-RISK is to identify causal intergenerational pathways linking parental risk factors to child psychiatric symptoms.  I-RISK will implement and develop cutting-edge genetically informed methods to enable better causal inference in intergenerational research. Three work packages will address major limitations in state-of-the-art research: (i) no study to date has applied such causal inference methods to identify intergenerational risk factors for child psychiatric symptoms; (ii) the role of intermediate phenotypes, whether environmental (e.g. parenting) or biological (epigenetic and brain data), in explaining the intergenerational transmission of risk remains poorly understood; (iii) genetically informed intergenerational research is still in its infancy and key methodological developments are required to propel the field forward. I-RISK will generate new genomic data and  bring together four of the largest child cohorts in Europe (pooled N >100,000). These cohorts feature genetic data in children and parents as well as unique data on environmental and biological intermediate phenotypes. I-RISK will pioneer a paradigm shift in intergenerational mental health research and provide unprecedented insights into the aetiology of child psychiatric symptoms, with the ultimate goal of breaking the intergenerational cycle of mental illness and inequalities.";2183293;2183293;ERC-2019-COG;ERC-COG;"UNIVERSITY COLLEGE LONDON";UK;"ERASMUS UNIVERSITAIR MEDISCH CENTRUM ROTTERDAM";NL;
229303;101003373;BIOLACVAC;SIGNED;H2020-EU.4.;WF-02-2019;H2020;"NEW BIOFERTILIZER IN FUNTIONAL FOODS: EMPLOY OF LACTIC ACID BACTERIA AS VACCINIUM CORYMBOSUM INOCULANT";2020-05-01;2022-04-30;;"The consumption of functional foods has increased in the last years and, with it, the offer of available products to the consumer. These products, such as berries, are consumed by the health benefits preventing chronic diseases. In turn, fresh consumption of this fruits has increase in quantity and diversity, but the number of outbreaks of infectious diseases associated with their consumption is increase together. For this reason, the use of biofertilizers must follow strict biosecurity standards as reflected in future European regulations in this area. This regulation contains a limited number of microorganisms such as Rhizobium and another bacteria present in foods to be applied as biostimulant. So the use of lactic acid bacteria (LAB) is an option to consider. In this project,, we propose the employ of LAB as biofertilizer to use on blueberry crops to improve the production and the quality of the fruits.";159815,04;159815,04;H2020-WF-02-2019;MSCA-IF-EF-ST;"UNIVERSIDADE DA BEIRA INTERIOR";PT;;;
229219;883071;PROVE;SIGNED;H2020-EU.1.3.2.;MSCA-IF-2019;H2020;"Pathogenic Triggers and Drivers of Venous Thromboembolism: Intermittent Hypoxia, Intravascular Cells and Extracellular Vesicles";2020-09-01;2022-08-31;;"Venous thromboembolism (VTE) is a common, deadly condition affecting more than 1 million europeans, with 500.000 related deaths in EU per year. Many risk factors are established, but it is not known what triggers a VTE event, which hampers development of predictive and therapeutic measures. Hypoxia is known to play a major role in thrombus formation, but via which mechanisms is unclear. PROVE will be conducted at the university of Tromsø, using state-of-the-art equipment in a world-class thrombosis center of excellence (TREC) to uncover how hypoxia contributes to thrombus formation, with an emphasis on immunology and extracellular vesicles (EVs). TREC is composed of three units, combining epidemiology, clinic, and laboratory research, to conduct interdisciplinary, cutting-edge, research. PROVE will add aspects on immunology and EVs to TREC, two fields with greatly increasing importance in thrombotic research. 

PROVE will address three research objectives: (i) To unravel processes and pathways triggered by IH in intravascular cells (i.e. endothelial cells, monocytes and platelets); (ii) To define the characteristics and procoagulant activity of cell-specific EVs derived from intravascular cells activated by VTE-associated stimuli including IH, (iii) To comprehensively compare cell-specific EVs isolated from plasma of VTE patients and healthy subjects, towards future development of diagnostic tools and improved treatment regimens.

This will be achieved by substantial characterizations and functional test of human cells and blood samples from both healthy individuals, and VTE patients. This will result in powerful data sets from protein expression analysis, and RNA sequencing, but also functional experiments to define effects of hypoxia on coagulation, and initiation of thrombi.

The long term goal of PROVE is to improve diagnostic and therapeutic procedures, to reduce the substantial suffering and costs of VTE.";214158,72;214158,72;H2020-MSCA-IF-2019;MSCA-IF-EF-ST;"UNIVERSITETET I TROMSOE - NORGES ARKTISKE UNIVERSITET";NO;;;
229230;885180;MOLBEC;SIGNED;H2020-EU.1.1.;ERC-2019-ADG;H2020;"Molecular Bose Einstein Condensate";2020-08-01;2025-07-31;;"Generating a Bose Einstein Condensate (BEC) or Fermi gas of molecules is a long-standing goal of modern molecular science. Molecular BEC is a macroscopic millimeter-size quantum object with a large number of molecules occupying the lowest center-of-mass quantum state. In stark contrast to atoms, molecules possess internal degrees of freedom and stronger interactions that lead to the emergence of new phenomena. Strong dipole-dipole interactions give rise to new ordered states of matter, quantum crystals. Many-body effects start dominating collision dynamics where even molecular rotational excitations are dissipated as angular-momenta-carrying quasiparticles within the condensate.
 Despite intense experimental efforts, these fascinating ideas remain in the realm of theory. The main difficulty in turning theory into reality has been the absence of general molecular cooling methods. Recently, we have demonstrated the first experiment where collisions between cold molecules trapped in a 1 K deep superconducting magnetic trap are achieved without laser cooling [Segev et al. Nature, 572 (2019)], opening a clear path to molecular evaporation. 
We here propose to cool molecules by removing the fastest ones from the trap and letting the rest thermalize to lower temperatures via collisions. This method has been used to produce atomic BECs and we are the first group reaching identical initial conditions that are necessary for the successful application of the evaporative cooling. Generality of our approach is the key to successful search for a suitable molecular candidate. As an alternative to evaporation we suggest applying direct laser cooling on magnetically stopped NH radicals. We are confident  that one of our approaches will lead to the long-sought generation of molecular quantum degenerate gas.
Our proposal opens new fields and will find applications in areas ranging from quantum chemistry to quantum information science.";2499990;2499990;ERC-2019-ADG;ERC-ADG;"WEIZMANN INSTITUTE OF SCIENCE";IL;;;
229287;897192;HerbaRice;SIGNED;H2020-EU.1.3.2.;MSCA-IF-2019;H2020;"Herbicide Resistant Rice Development For European Continental Project";2020-08-15;2023-08-14;;"Global rice production, so far, has been able to meet population demands. Rice production is considerable exposed to the environment and natural detrimental affect especially weed and weedy rice problems. Present herbicides are often suffered to kill weed and weedy rice that allows for more chemical usage and non-sustainable rice production system. Weed and weedy rice are a great problem because of resistancy and cultivation system such as direct seeded area, especially in Europe. In order to control the problem, Clearfield and Provisia technology developed in the United States. But some weed species or weed varieties are getting resistant to Clearfield rice in Europe in the last years. Thus, new alternative tools are needed for weed control.
The main aim of the project is develop to non-GMO herbicide resistant new base rice for European countries. Herbicide resistant new base rice might be utilized control weed and weedy rice where gained resistance against to conventional rice herbicides in the fields. Project will investigate to develop non-GMO resistancy with Clethodim (Cyclohexanedione-Dim Group) herbicide resistance for rice. For this reason first objective is execute a mutation on rice seeds, second is develop to low and high resistancy on rice plant, the next objective is determination of mutation point on mutagen resistant rice. Last objective is investigated to deterioration of currently utilized herbicide resistancy system on especially the basis of IMI
resistant red rice at incoming phase.
The new resistancy system might be available to use when Clearfield and Provisia technology break down because of gene flow and misusage. The HerbaRice project will give new insights on weed and weedy rice problem on rice fields, providing new tools for herbicide resistancy producing safer and sustainable food production.";255943,68;255943,68;H2020-MSCA-IF-2019;MSCA-IF-GF;"MINISTRY OF AGRICULTURE AND FORESTRY";TR;;;
229298;101003355;INFERNO;SIGNED;H2020-EU.4.;WF-02-2019;H2020;"Per‐ and polyfluoroalkyl substances impact on reproductive health of firefighters";2021-09-01;2023-08-31;;"Per‐ and polyfluoroalkyl substances (PFAS) are highly fluorinated compounds, with a variety of industrial and consumer uses, including stain resistant coatings, plastics, fire‐resistant coatings, and fire‐fighting fluids. PFAS are the active ingredient in aqueous film‐forming foam (AFFF) use to extinguish fuel-based fires. Potential links between the occupational use of AFFF by firefighters and certain negative health outcomes have not been sufficiently studied. As the overall objective of this study is to investigate the influence of PFAS newly identified in AFFF on reproductive health of firefighters, we will fully delineate PFASs composition found in AFFF and use by firefighters during their duties. We intend to characterize the composition of individual PFASs and their precursors in AFFF using unique analytical set up consisting of liquid chromatography-inductively coupled plasma tandem mass spectrom¬etry (LC-ICPMSMS) followed by high resolution mass spectrometry (LC-OrbiTrap -MS). We will perform sampling and analysis of blood and semen in newly recruited group of firefighters after their first exposure to AFFF to monitor the change in concentration levels of the compounds identified in the AFFF and evaluate the relations with fertility parameters (sperm count, morphology, motility), as firefighters are at higher risk to be diagnosed with male infertility. To directly compare in vivo observations and verify our findings we will set up in vitro experiments to elucidate the effects of these compounds on steroidogenesis and spermatogenesis pathways. The proposed interdisciplinary study is a major step in elucidating the role of PFAS originating from AFFF in male reproductive health. Moreover, these findings will also support efforts designed to introduce a more rigorous regulatory framework tackling PFAS collectively rather than on a compound-specific basis.";156980,64;156980,64;H2020-WF-02-2019;MSCA-IF-EF-RI;"Masarykova univerzita";CZ;;;
229229;885107;RLeap;SIGNED;H2020-EU.1.1.;ERC-2019-ADG;H2020;"From Data-based to Model-based AI: Representation Learning for Planning";2020-10-01;2025-09-30;;"Two of the main research threads in AI revolve around the development of data-based learners capable of inferring behavior and  functions from experience and data, and model-based solvers capable of tackling well-defined but intractable models like SAT, classical planning, and Bayesian networks. Learners, and in particular deep learners, have achieved considerable success but result in black boxes that do not have the flexibility, transparency, and generality of their model-based counterparts. Solvers, on the other hand, require models which are hard to build by hand. RLeap is aimed at achieving an integration of learners and solvers in the context of planning by addressing and solving the problem of learning first-order planning representations from raw perceptions alone without using any prior symbolic knowledge. The ability to construct first-order symbolic representations and using them for expressing, communicating, achieving, and recognizing goals is a main component of human intelligence and a fundamental, open research problem in AI.  The success of RLeap requires the development of radically new ideas and methods that will build on those of a number of related areas that include planning,  learning, knowledge representation, combinatorial optimization and SAT. The approach to be pursued  is based on a clear separation  between learning the  symbolic representations themselves, that is cast as a combinatorial problem,  and learning the interpretations of those representations, that is cast as a supervised learning problem from targets obtained from the first part. RLeap will address both problems, not just in the planning setting but in the generalized planning setting as well where plans are general strategies. The project can make a significant difference in how general, explainable, and trustworthy AI can be understood and achieved. The PI  has made key contribution to the main themes of the project that make him uniquely qualified to carry it forward.";2498625;2498625;ERC-2019-ADG;ERC-ADG;"UNIVERSIDAD POMPEU FABRA";ES;;;
229222;882216;FORECAST;SIGNED;H2020-EU.1.3.2.;MSCA-IF-2019;H2020;"Predicting mixed forests responses to climate change and drought stress with a plant hydraulics model";2021-01-15;2023-01-14;;"The frequency and intensity of droughts are expected to increase in many regions of the world due to global climate change. Droughts can lead to widespread tree mortality, leading to a loss of carbon stored in forests that will feedback to exacerbate climate change. Thus, modelling forest responses to drought is critical for predicting climate change socio-economic and ecological impacts and informing conservation strategies. However, current models are not capable of adequately representing forest responses to drought, especially for mixed forests due to their diversity in species and functional traits. The proposed research intends to solve this problem by developing a model for mixed forests based on known biophysical constraints, plant functional traits and optimization theory. The model’s performance will be evaluated with (1) detailed measurements at Hayedo de Montejo (HM), a mixed Mediterranean forest with diverse functional traits, (2) data from a network of eddy-covariance towers that measure ecosystem fluxes, and (3) mortality data from two national forest inventories that span a wide range of forest types. Next, the model will be used for forecasting the vulnerability of HM to different climate change scenarios for guiding the conservation of this World Heritage Site.

I will develop this project at Universidad Politécnica de Madrid, one of Europe’s leading academic institutions. A secondment at Centro de Investigación Ecológica y Aplicaciones Forestales (Barcelona) will allow me to learn new modelling approaches, gain access to global plant databases, and establish new collaborations. A secondment at Dirección General de Medio Ambiente y Sostenibilidad de la Comunidad de Madrid, a non-academic institution in charge of HM’s management, will ensure intersectoral transfer of knowledge among scientists, educators, managers and policy makers. This MSCA will facilitate my return to Europe and enhance my chances of obtaining a permanent position in Europe.";172932,48;172932,48;H2020-MSCA-IF-2019;MSCA-IF-EF-RI;"UNIVERSIDAD POLITECNICA DE MADRID";ES;;;
229296;953636;NURSPRAY;SIGNED;"H2020-EU.3.;H2020-EU.2.3.;H2020-EU.2.1.";EIC-SMEInst-2018-2020;H2020;"Nurspray Biostimulants - Protecting agriculture against climate stress with breakthrough sustainable crop treatment";2020-05-01;2022-04-30;;"Fyteko's Nurspray is a biostimulant that makes crops resilient to climate stress. Nurspray activates a plant's tolerance mechanism to drought, heat and salinity, boosting recovery and crop yield. It is non-toxic and compatible with agricultural methods. Field trials have shown yield increases of 12% to 53% over a broad range of crops and locations. 
Problem: Heat, drought and salinity are undermining global agricultural output by 50%, worth $100B p.a. Current agrochemicals are insufficient: there is no abiotic stress treatment product. 
Solution: Nurspray is the world’s first single-molecule biostimulant with a scientifically proven effect. It competes with other biostimulants which are mix/extracts/microorganisms with limited effect. 
Timing: The EU’s revised Directive on Fertilising Products (2019) will allow biostimulants to obtain CE marking in 2022. 
Progress: Fyteko has invented and patented Nurspray, produced demonstration batches at scale, proven effectiveness in 170\ tests, and won numerous awards. Trial contracts to treat fields in Latin American and Africa are already signed. 
Sales: End-users are farmers, reached through distributors, agrochemical partners and seed companies. 
Market: Agrochemicals are worth €5B annually. Biostimulants will disrupt this, as farmers are seeking non-chemical solutions for crop stress management. 
Project: Fyteko will improve its formulations; upscale its production process; conduct field trials in eight EU countries (data generation); secure CE Marking; and prepare for European market launch in 2022-2023.";2761812,5;1933268,75;H2020-EIC-SMEInst-2018-2020-3;SME-2b;FYTEKO;BE;;;
229273;894645;DDMS;SIGNED;H2020-EU.1.3.2.;MSCA-IF-2019;H2020;"Differential DOM-cycling through Microbes and Sponges";2020-08-15;2023-08-14;;"Anthropogenic  disturbances, such as nutrient pollution and overfishing, threaten coral reefs by facilitating community shifts from reef-building corals to algae, increasing production of algal-derived dissolved organic matter (DOM). DOM is the largest food source on reefs, but cannot be consumed by most reef animals. Instead, microbes and sponges transform DOM into particles that re-enter the food web. These recycling pathways, termed the “microbial and sponge loops”, are understood as crucial ecosystem adaptations for reefs to thrive as biological hotspots under nutrient-poor conditions. However, the increased load of algal-DOM on degraded reefs has been associated with the inefficient growth of pathogenic microbes—the “microbialization of reefs”.
Sponges have been hypothesized to further stimulate this microbialization by feeding on increased algal-DOM and accelerating algal proliferation via the subsequent release of nutrients. Through this “vicious circle”, microbes and sponges may jointly promote the degradation of coral reefs even faster than the usual, and much more studied, suspects of climate change (i.e., rising seawater temperature and ocean acidification).
I aim to determine whether planktonic microbes and sponges compete over DOM (i.e., feed on same or different DOM components) under past, present, and future projections of available DOM. 
Thereto, I will characterize the composition of different DOM types (e.g., coral- and algal-DOM) and mixtures of DOM representing past, present and future DOM-producing communities and assess their availability (uptake) and utilization (metabolic processing) by planktonic microbes and sponges. I will further assess the ability of planktonic microbes to utilize sponge-processed water and vice versa. With this project I will lay the foundation to integrate microbes and sponges as understudied key ecosystem engineers into coral reef food web frameworks that will allow to elucidate the fate of future coral reefs.";253052,16;253052,16;H2020-MSCA-IF-2019;MSCA-IF-GF;"UNIVERSITEIT VAN AMSTERDAM";NL;;;
229283;896045;MuMiPOC;SIGNED;H2020-EU.1.3.2.;MSCA-IF-2019;H2020;"Multiparametric Microfluidic System for the Point-Of-Care detection of sepsis";2020-07-01;2022-06-30;;"Sepsis is a life-threatening condition caused by a dysregulated response of the host’s immune system to infection. If not treated immediately, it can result in multiple organ failure and death. According to the World Health Organisation (WHO), sepsis affects approximately 30 million people worldwide every year, leading to potentially 6 million deaths. The main challenges associated with this condition are that it is, on the one hand, challenging to diagnose in its early stages when it is still potentially reversible, and, on the other hand, it is often confused with non-life-threatening diseases such as flu or gastroenteritis. Current clinical approaches to diagnose sepsis in low-complexity healthcare settings (where most patients are admitted at first) fail to provide the required sensitivity and specificity to overcome these challenges. Portable, fast and economical technologies that help to infer sepsis accurately are therefore vital to tackle these challenges.  
This project aims to develop a portable, low-cost microfluidic platform which has the capability to detect sepsis under 1 hour and has sensitivity and specificity levels above 90%. This platform is based on the quantification of several blood rheological parameters that are affected by this pathology. Previous research has shown that these parameters have clinical relevance for the early diagnosis of sepsis. The project will be executed in the company Micronit Microtechnologies BV (host institution) located in the Netherlands under the supervision of Dr. Maciej Skolimowski. This project also includes a secondment in the Department of Intensive Care at the Erasme Hospital – Université Libre de Bruxelles (secondment institution) located in Belgium under the supervision of Prof. Jean-Louis Vincent. The duration of the project is 24 months.";175572,48;175572,48;H2020-MSCA-IF-2019;MSCA-IF-EF-SE;"MICRONIT MICROTECHNOLOGIES BV";NL;;;
229257;893527;CoDe-S;SIGNED;H2020-EU.1.3.2.;MSCA-IF-2019;H2020;"Codes for Design of Sustainable Structures";2020-10-01;2022-09-30;;"Given the tremendous challenges our society is facing, i.e. in regard to the expected changes in our environment due to climate change and the increasing pressure on our natural resources, the international research community is in demand to find solutions that provide the foundation for our sustainable development. Here, the built environment is of obvious importance as it not only facilitates societal activity but also has a major share on the worldwide turnover of economic and environmental resources.  To date the built environment is developed and maintained by broadly following structural design standards, which did evolve continuously over time and contain safety concepts that support daily structural engineering decision making based on simple calculus. The major objective that has been followed in their development, was the provision of sufficient safety, and the observed relative low failure rates do proof success in this regard. However, as conceived, structural design codes do not allow for the optimal allocation of the limited financial and environmental resources into the structural performance. In this context, the proposed project will develop methodologies to calibrate the safety concept of existing design standards, such that their broad implementation will lead to a significant increase of resource efficiency with simultaneous conservation of the present average safety level. Environmental, economic and societal aspects will be explicitly considered and the potential benefits will be exemplified on the building stocks of two European countries. Presented and disseminated by means of user-friendly tools and demonstrators in a form that is not only accessible to expert groups, but also to other stakeholders involved in standardization procedures, the results of the project are expected to have a substantial impact on future structural design procedures, contributing to sustainable societal development.";214158,72;214158,72;H2020-MSCA-IF-2019;MSCA-IF-EF-ST;"NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU";NO;;;
229290;895803;MACSECH;SIGNED;H2020-EU.1.3.2.;MSCA-IF-2019;H2020;"Megacity Aerosol Composition by Satellite: A tool to study anthropogenic Emissions, Climate change and human Health";2021-06-01;2023-05-31;;"Anthropogenic aerosol emissions from growing urban agglomerations contribute to air pollution with impacts on climate change and on human health. The composition of aerosols over megacities is partly unknown, although important to accurately understand and prevent these impacts.
Satellite-based remote sensing provides a unique opportunity to spatially monitor the atmospheric composition in the lowermost troposphere. We propose to analyze complementary information on gases and aerosols in order to provide estimates of aerosol concentration at the surface with their composition, specifically over megacity regions.
Current aerosol concentration and chemical composition will be assessed by combining:
1) Local snapshots of aerosol concentration and composition at high spatio-temporal resolution from aircraft campaigns,
2) Global retrievals of aerosol optical properties from satellite measurements, and
3) Numerical atmospheric simulations.
This project focuses on three regions (with different emission regulations) where scientific aircraft campaigns have been carried out, namely Europe (strict regulation), East Asia (regulation implementation in progress) and West Africa (no regulation). Based on modelling sensitivity studies, we will evaluate the benefits of emission reduction strategies on human health and anthropogenic climate change. 
Applied to future regulations, our methodology will provide a comprehensive analysis to advise policymakers on sustainable choices.";174806,4;174806,4;H2020-MSCA-IF-2019;MSCA-IF-EF-CAR;"UNIVERSITAET BREMEN";DE;;;
229289;898125;CELESTE;SIGNED;H2020-EU.1.3.2.;MSCA-IF-2019;H2020;"Cryogenic III-V electronics for improved quantum computers";2020-11-01;2022-10-31;;"Quantum computers can revolutionize our society, but will require technological advances on multiple levels to do so. One such level is the classical electronics supporting the operation of the quantum processor. These electronics provide control and readout of the qubits, but also introduce noise into the system and must be integrated into the system in an efficient manner, in terms of power and space. In this proposal, I will aim to improve the scalability and performance of quantum computers by developing tailored cryogenic III-V electronics that leverage unique cryogenic effects to surpass the capabilities of traditional technologies. My work will cover two types of circuits representing low and high-risk targets, respectively: a cryogenic quantum well RF switch and a one-dimensional quantized ballistic LNA (1D-LNA). Due to the overlapping needs of the two circuits (in terms of the III-V materials and device fabrication), I will pursue them in parallel. My work will include cryogenic RF circuit design, cleanroom fabrication and cryogenic measurements, as well as manipulation of qubits using the fabricated circuits. The functionality of the circuits and their low-power and low-noise operation make them suitable for both superconducting and spin qubit technologies.";203149,44;203149,44;H2020-MSCA-IF-2019;MSCA-IF-EF-ST;"IBM RESEARCH GMBH";CH;;;
229238;890184;DistrictEES;SIGNED;"H2020-EU.3.3.7.;H2020-EU.3.3.1.";LC-SC3-EE-11-2018-2019-2020;H2020;"ENERGY EFFICIENCY SUBSCRIPTIONS ON DISTRICT LEVEL FOR THE BUILT ENVIRONMENT";2020-05-01;2023-04-30;;"The DistrictEES project aims to realise the EPC-based renovation of three entire districts, financed partly by private investors, covering all major target groups: private owners, housing associations, public buildings and commercial buildings.
DistrictEES builds on the most successful EPC model of The Netherlands for home renovation, the WoningAbonnement (WOAB); loosely translated as Energy Efficiency Subscriptions. In this project, WDW (the ESCO) will apply this model at district level to four different end user groups, launching €47M of energy efficiency investments in three districts in the Gelderland province. This district level approach has major advantages, such as:
•        Reaching a sufficient project aggregation level to attract private investors and to provide over-demanded contractors with large scale efficient projects
•        Reaching higher conversion rates among participants (peer pressure, FOMO)
•        Ability to offer cheaper and more efficient district-level technical solutions
•        Efficiency gains, both in time and money, due to economies of scale
By combining clever financial engineering solutions such as project aggregation, a revolving fund and on-bill financing, DistrictEES will have significant impact on the market, both in terms of direct energy savings and as a result of the showcase element that comes with a district level EPC renovation project that is cofunded by private investors.
This project enables WDW to overcome financial, legal and organisational barriers for the DistrictEES concept, enabling accelerated roll-out of the Energy Efficiency Subscriptions model. By implementing the concept at district level on a €47M scale, WDW can fully capitalise on the potential of the district level approach and at the same time attract private investors. The latter being an important prerequisite for the upscaling and replication of the concept, both in The Netherlands and across the EU, which is the ultimate objective of this project.";1136657,5;1136657,5;H2020-LC-SC3-EE-2019;CSA;"VAN WIJNEN GROEP NV";NL;;;
229207;864576;FASTLabEx;SIGNED;H2020-EU.1.1.;ERC-2019-COG;H2020;"Fast Radio-Labeling and Isotope Exchange";2020-10-01;2025-09-30;;"The impact of synthetic organic molecules on health, life quality and lifestyle is beyond doubt. It is therefore of fundamental importance to detect and quantify the fate of organic compounds and provide a precise risk/benefit assessment, before they reach the market and large public exposure. The traceless incorporation of carbon-14 allows tracking organic molecules and provides vital knowledge on their fate. This information is critical for pharmaceutical development, crop science and human food safety evaluation. Surprisingly, carbon radiolabeling still represents a bottleneck and an unsolved fundamental problem. In fact, current synthetic strategies are marred by several major drawbacks, including the generation of radioactive waste, being multi-step time-consuming and high resource-demanding. To circumvent such disadvantages, I present FASTLabEx, a novel approach for the straightforward preparation of carbon-labeled complex organic molecules that introduces the radioactive tag at the ultimate-stage of the synthesis. Inspired by efficient metal-catalyzed transformations, FASTLabEx makes use of a novel paradigm of “carbon isotope exchange”, defined as the selective replacement of molecular moieties into organic molecules, by reversible molecular deconstruction/reconstruction in presence of an appropriate radiolabeled moiety. FASTLabEx will explore this concept onto a large variety of functional groups and structural diversity, far beyond the case of carboxylic acids. This approach has the potential to streamline the radio-synthesis of pharmaceuticals and agrochemicals. Outcomes from FASTLabEx will have a tangible societal impact not only for the radiochemical community, but also for pharmaceutical and agrochemical industries and in fine the consumers and patients. In order to mitigate the risks inherent to the project, preliminary results demonstrate its feasibility.";1999431;1999431;ERC-2019-COG;ERC-COG;"COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES";FR;;;
